district_gadm,state_gadm,year,q,quarter,quarter_num,flood_exposure_ruleA_qt,flood_exposure_ruleB_qt
Surendranagar,Gujarat,2016,2,2016Q2,6,0,0
Surendranagar,Gujarat,2016,3,2016Q3,7,0,0
Surendranagar,Gujarat,2016,4,2016Q4,8,0,0
Surendranagar,Gujarat,2017,1,2017Q1,9,0,0
Surendranagar,Gujarat,2017,2,2017Q2,10,1,0
Surendranagar,Gujarat,2017,3,2017Q3,11,0,0
Surendranagar,Gujarat,2017,4,2017Q4,12,0,0
Surendranagar,Gujarat,2018,1,2018Q1,13,0,0
Surendranagar,Gujarat,2018,2,2018Q2,14,1,0
Surendranagar,Gujarat,2018,3,2018Q3,15,0,0
Surendranagar,Gujarat,2018,4,2018Q4,16,0,0
Surendranagar,Gujarat,2019,1,2019Q1,17,0,0
Surendranagar,Gujarat,2019,2,2019Q2,18,0,0
Surendranagar,Gujarat,2019,3,2019Q3,19,0,0
Surendranagar,Gujarat,2019,4,2019Q4,20,0,0
Surendranagar,Gujarat,2020,1,2020Q1,21,0,0
Surendranagar,Gujarat,2020,2,2020Q2,22,1,0
Surendranagar,Gujarat,2020,3,2020Q3,23,0,0
Surendranagar,Gujarat,2020,4,2020Q4,24,0,0
Surendranagar,Gujarat,2021,1,2021Q1,25,0,0
Surendranagar,Gujarat,2021,2,2021Q2,26,1,0
Surendranagar,Gujarat,2021,3,2021Q3,27,0,0
Surendranagar,Gujarat,2021,4,2021Q4,28,0,0
Surendranagar,Gujarat,2022,1,2022Q1,29,0,0
Surendranagar,Gujarat,2022,2,2022Q2,30,1,0
Surendranagar,Gujarat,2022,3,2022Q3,31,0,0
Surendranagar,Gujarat,2022,4,2022Q4,32,0,0
Surendranagar,Gujarat,2023,1,2023Q1,33,0,0
Surendranagar,Gujarat,2023,2,2023Q2,34,1,0
Surendranagar,Gujarat,2023,3,2023Q3,35,0,0
Surendranagar,Gujarat,2023,4,2023Q4,36,0,0
Surendranagar,Gujarat,2024,1,2024Q1,37,0,0
Surendranagar,Gujarat,2024,2,2024Q2,38,0,0
Surendranagar,Gujarat,2024,3,2024Q3,39,1,0
Surendranagar,Gujarat,2024,4,2024Q4,40,0,0
Tapi,Gujarat,2015,1,2015Q1,1,0,0
Tapi,Gujarat,2015,2,2015Q2,2,0,0
Tapi,Gujarat,2015,3,2015Q3,3,0,0
Tapi,Gujarat,2015,4,2015Q4,4,0,0
Tapi,Gujarat,2016,1,2016Q1,5,0,0
Tapi,Gujarat,2016,2,2016Q2,6,0,0
Tapi,Gujarat,2016,3,2016Q3,7,0,0
Tapi,Gujarat,2016,4,2016Q4,8,0,0
Tapi,Gujarat,2017,1,2017Q1,9,0,0
Tapi,Gujarat,2017,2,2017Q2,10,1,0
Tapi,Gujarat,2017,3,2017Q3,11,0,0
Tapi,Gujarat,2017,4,2017Q4,12,0,0
Tapi,Gujarat,2018,1,2018Q1,13,0,0
Tapi,Gujarat,2018,2,2018Q2,14,1,0
Tapi,Gujarat,2018,3,2018Q3,15,0,0
Tapi,Gujarat,2018,4,2018Q4,16,0,0
Tapi,Gujarat,2019,1,2019Q1,17,0,0
Tapi,Gujarat,2019,2,2019Q2,18,0,0
Tapi,Gujarat,2019,3,2019Q3,19,0,0
Tapi,Gujarat,2019,4,2019Q4,20,0,0
Tapi,Gujarat,2020,1,2020Q1,21,0,0
Tapi,Gujarat,2020,2,2020Q2,22,1,0
Tapi,Gujarat,2020,3,2020Q3,23,0,0
Tapi,Gujarat,2020,4,2020Q4,24,0,0
Tapi,Gujarat,2021,1,2021Q1,25,0,0
Tapi,Gujarat,2021,2,2021Q2,26,1,0
Tapi,Gujarat,2021,3,2021Q3,27,0,0
Tapi,Gujarat,2021,4,2021Q4,28,0,0
Tapi,Gujarat,2022,1,2022Q1,29,0,0
Tapi,Gujarat,2022,2,2022Q2,30,1,0
Tapi,Gujarat,2022,3,2022Q3,31,0,0
Tapi,Gujarat,2022,4,2022Q4,32,0,0
Tapi,Gujarat,2023,1,2023Q1,33,0,0
Tapi,Gujarat,2023,2,2023Q2,34,1,0
Tapi,Gujarat,2023,3,2023Q3,35,0,0
Tapi,Gujarat,2023,4,2023Q4,36,0,0
Tapi,Gujarat,2024,1,2024Q1,37,0,0
Tapi,Gujarat,2024,2,2024Q2,38,0,0
Tapi,Gujarat,2024,3,2024Q3,39,1,0
Tapi,Gujarat,2024,4,2024Q4,40,0,0
The Dangs,Gujarat,2015,1,2015Q1,1,0,0
The Dangs,Gujarat,2015,2,2015Q2,2,0,0
The Dangs,Gujarat,2015,3,2015Q3,3,0,0
The Dangs,Gujarat,2015,4,2015Q4,4,0,0
The Dangs,Gujarat,2016,1,2016Q1,5,0,0
The Dangs,Gujarat,2016,2,2016Q2,6,0,0
The Dangs,Gujarat,2016,3,2016Q3,7,0,0
The Dangs,Gujarat,2016,4,2016Q4,8,0,0
The Dangs,Gujarat,2017,1,2017Q1,9,0,0
The Dangs,Gujarat,2017,2,2017Q2,10,1,0
The Dangs,Gujarat,2017,3,2017Q3,11,0,0
The Dangs,Gujarat,2017,4,2017Q4,12,0,0
The Dangs,Gujarat,2018,1,2018Q1,13,0,0
The Dangs,Gujarat,2018,2,2018Q2,14,1,0
The Dangs,Gujarat,2018,3,2018Q3,15,0,0
The Dangs,Gujarat,2018,4,2018Q4,16,0,0
The Dangs,Gujarat,2019,1,2019Q1,17,0,0
The Dangs,Gujarat,2019,2,2019Q2,18,0,0
The Dangs,Gujarat,2019,3,2019Q3,19,0,0
The Dangs,Gujarat,2019,4,2019Q4,20,0,0
The Dangs,Gujarat,2020,1,2020Q1,21,0,0
The Dangs,Gujarat,2020,2,2020Q2,22,1,0
The Dangs,Gujarat,2020,3,2020Q3,23,0,0
The Dangs,Gujarat,2020,4,2020Q4,24,0,0
The Dangs,Gujarat,2021,1,2021Q1,25,0,0
The Dangs,Gujarat,2021,2,2021Q2,26,1,0
The Dangs,Gujarat,2021,3,2021Q3,27,0,0
The Dangs,Gujarat,2021,4,2021Q4,28,0,0
The Dangs,Gujarat,2022,1,2022Q1,29,0,0
The Dangs,Gujarat,2022,2,2022Q2,30,1,0
The Dangs,Gujarat,2022,3,2022Q3,31,0,0
The Dangs,Gujarat,2022,4,2022Q4,32,0,0
The Dangs,Gujarat,2023,1,2023Q1,33,0,0
The Dangs,Gujarat,2023,2,2023Q2,34,1,0
The Dangs,Gujarat,2023,3,2023Q3,35,0,0
The Dangs,Gujarat,2023,4,2023Q4,36,0,0
The Dangs,Gujarat,2024,1,2024Q1,37,0,0
The Dangs,Gujarat,2024,2,2024Q2,38,0,0
The Dangs,Gujarat,2024,3,2024Q3,39,1,0
The Dangs,Gujarat,2024,4,2024Q4,40,0,0
Vadodara,Gujarat,2015,1,2015Q1,1,0,0
Vadodara,Gujarat,2015,2,2015Q2,2,0,0
Vadodara,Gujarat,2015,3,2015Q3,3,0,0
Vadodara,Gujarat,2015,4,2015Q4,4,0,0
Vadodara,Gujarat,2016,1,2016Q1,5,0,0
Vadodara,Gujarat,2016,2,2016Q2,6,0,0
Vadodara,Gujarat,2016,3,2016Q3,7,1,1
Vadodara,Gujarat,2016,4,2016Q4,8,0,0
Vadodara,Gujarat,2017,1,2017Q1,9,0,0
Vadodara,Gujarat,2017,2,2017Q2,10,1,0
Vadodara,Gujarat,2017,3,2017Q3,11,0,0
Vadodara,Gujarat,2017,4,2017Q4,12,0,0
Vadodara,Gujarat,2018,1,2018Q1,13,0,0
Vadodara,Gujarat,2018,2,2018Q2,14,1,0
Vadodara,Gujarat,2018,3,2018Q3,15,0,0
Vadodara,Gujarat,2018,4,2018Q4,16,0,0
Vadodara,Gujarat,2019,1,2019Q1,17,0,0
Vadodara,Gujarat,2019,2,2019Q2,18,0,0
Vadodara,Gujarat,2019,3,2019Q3,19,0,0
Vadodara,Gujarat,2019,4,2019Q4,20,0,0
Vadodara,Gujarat,2020,1,2020Q1,21,0,0
Vadodara,Gujarat,2020,2,2020Q2,22,1,0
Vadodara,Gujarat,2020,3,2020Q3,23,0,0
Vadodara,Gujarat,2020,4,2020Q4,24,0,0
Vadodara,Gujarat,2021,1,2021Q1,25,0,0
Vadodara,Gujarat,2021,2,2021Q2,26,1,0
Vadodara,Gujarat,2021,3,2021Q3,27,0,0
Vadodara,Gujarat,2021,4,2021Q4,28,0,0
Vadodara,Gujarat,2022,1,2022Q1,29,0,0
Vadodara,Gujarat,2022,2,2022Q2,30,1,0
Vadodara,Gujarat,2022,3,2022Q3,31,0,0
Vadodara,Gujarat,2022,4,2022Q4,32,0,0
Vadodara,Gujarat,2023,1,2023Q1,33,0,0
Vadodara,Gujarat,2023,2,2023Q2,34,1,0
Vadodara,Gujarat,2023,3,2023Q3,35,0,0
Vadodara,Gujarat,2023,4,2023Q4,36,0,0
Vadodara,Gujarat,2024,1,2024Q1,37,0,0
Vadodara,Gujarat,2024,2,2024Q2,38,0,0
Vadodara,Gujarat,2024,3,2024Q3,39,1,0
Vadodara,Gujarat,2024,4,2024Q4,40,0,0
Valsad,Gujarat,2015,1,2015Q1,1,0,0
Valsad,Gujarat,2015,2,2015Q2,2,0,0
Valsad,Gujarat,2015,3,2015Q3,3,0,0
Valsad,Gujarat,2015,4,2015Q4,4,0,0
Valsad,Gujarat,2016,1,2016Q1,5,0,0
Valsad,Gujarat,2016,2,2016Q2,6,0,0
Valsad,Gujarat,2016,3,2016Q3,7,1,1
Valsad,Gujarat,2016,4,2016Q4,8,0,0
Valsad,Gujarat,2017,1,2017Q1,9,0,0
Valsad,Gujarat,2017,2,2017Q2,10,1,1
Valsad,Gujarat,2017,3,2017Q3,11,0,0
Valsad,Gujarat,2017,4,2017Q4,12,0,0
Valsad,Gujarat,2018,1,2018Q1,13,0,0
Valsad,Gujarat,2018,2,2018Q2,14,1,0
Valsad,Gujarat,2018,3,2018Q3,15,0,0
Valsad,Gujarat,2018,4,2018Q4,16,0,0
Valsad,Gujarat,2019,1,2019Q1,17,0,0
Valsad,Gujarat,2019,2,2019Q2,18,0,0
Valsad,Gujarat,2019,3,2019Q3,19,0,0
Valsad,Gujarat,2019,4,2019Q4,20,0,0
Valsad,Gujarat,2020,1,2020Q1,21,0,0
Valsad,Gujarat,2020,2,2020Q2,22,1,0
Valsad,Gujarat,2020,3,2020Q3,23,0,0
Valsad,Gujarat,2020,4,2020Q4,24,0,0
Valsad,Gujarat,2021,1,2021Q1,25,0,0
Valsad,Gujarat,2021,2,2021Q2,26,1,0
Valsad,Gujarat,2021,3,2021Q3,27,1,1
Valsad,Gujarat,2021,4,2021Q4,28,0,0
Valsad,Gujarat,2022,1,2022Q1,29,0,0
Valsad,Gujarat,2022,2,2022Q2,30,1,0
Valsad,Gujarat,2022,3,2022Q3,31,0,0
Valsad,Gujarat,2022,4,2022Q4,32,0,0
Valsad,Gujarat,2023,1,2023Q1,33,0,0
Valsad,Gujarat,2023,2,2023Q2,34,1,0
Valsad,Gujarat,2023,3,2023Q3,35,0,0
Valsad,Gujarat,2023,4,2023Q4,36,0,0
Valsad,Gujarat,2024,1,2024Q1,37,0,0
Valsad,Gujarat,2024,2,2024Q2,38,0,0
Valsad,Gujarat,2024,3,2024Q3,39,1,0
Valsad,Gujarat,2024,4,2024Q4,40,0,0
Ambala,Haryana,2015,1,2015Q1,1,0,0
Ambala,Haryana,2015,2,2015Q2,2,0,0
Ambala,Haryana,2015,3,2015Q3,3,1,0
Ambala,Haryana,2015,4,2015Q4,4,0,0
Ambala,Haryana,2016,1,2016Q1,5,0,0
Ambala,Haryana,2016,2,2016Q2,6,0,0
Ambala,Haryana,2016,3,2016Q3,7,0,0
Ambala,Haryana,2016,4,2016Q4,8,0,0
Ambala,Haryana,2017,1,2017Q1,9,0,0
Ambala,Haryana,2017,2,2017Q2,10,0,0
Ambala,Haryana,2017,3,2017Q3,11,0,0
Ambala,Haryana,2017,4,2017Q4,12,0,0
Ambala,Haryana,2018,1,2018Q1,13,0,0
Ambala,Haryana,2018,2,2018Q2,14,0,0
Ambala,Haryana,2018,3,2018Q3,15,1,0
Ambala,Haryana,2018,4,2018Q4,16,0,0
Ambala,Haryana,2019,1,2019Q1,17,0,0
Ambala,Haryana,2019,2,2019Q2,18,0,0
Ambala,Haryana,2019,3,2019Q3,19,0,0
Ambala,Haryana,2019,4,2019Q4,20,0,0
Ambala,Haryana,2020,1,2020Q1,21,0,0
Ambala,Haryana,2020,2,2020Q2,22,0,0
Ambala,Haryana,2020,3,2020Q3,23,0,0
Ambala,Haryana,2020,4,2020Q4,24,0,0
Ambala,Haryana,2021,1,2021Q1,25,0,0
Ambala,Haryana,2021,2,2021Q2,26,0,0
Ambala,Haryana,2021,3,2021Q3,27,0,0
Ambala,Haryana,2021,4,2021Q4,28,0,0
Ambala,Haryana,2022,1,2022Q1,29,0,0
Ambala,Haryana,2022,2,2022Q2,30,0,0
Ambala,Haryana,2022,3,2022Q3,31,0,0
Ambala,Haryana,2022,4,2022Q4,32,0,0
Ambala,Haryana,2023,1,2023Q1,33,0,0
Ambala,Haryana,2023,2,2023Q2,34,0,0
Ambala,Haryana,2023,3,2023Q3,35,0,0
Ambala,Haryana,2023,4,2023Q4,36,0,0
Ambala,Haryana,2024,1,2024Q1,37,0,0
Ambala,Haryana,2024,2,2024Q2,38,0,0
Ambala,Haryana,2024,3,2024Q3,39,0,0
Ambala,Haryana,2024,4,2024Q4,40,0,0
Bhiwani,Haryana,2015,1,2015Q1,1,0,0
Bhiwani,Haryana,2015,2,2015Q2,2,0,0
Bhiwani,Haryana,2015,3,2015Q3,3,1,0
Bhiwani,Haryana,2015,4,2015Q4,4,0,0
Bhiwani,Haryana,2016,1,2016Q1,5,0,0
Bhiwani,Haryana,2016,2,2016Q2,6,0,0
Bhiwani,Haryana,2016,3,2016Q3,7,0,0
Bhiwani,Haryana,2016,4,2016Q4,8,0,0
Bhiwani,Haryana,2017,1,2017Q1,9,0,0
Bhiwani,Haryana,2017,2,2017Q2,10,0,0
Bhiwani,Haryana,2017,3,2017Q3,11,0,0
Bhiwani,Haryana,2017,4,2017Q4,12,0,0
Bhiwani,Haryana,2018,1,2018Q1,13,0,0
Bhiwani,Haryana,2018,2,2018Q2,14,0,0
Bhiwani,Haryana,2018,3,2018Q3,15,1,0
Bhiwani,Haryana,2018,4,2018Q4,16,0,0
Bhiwani,Haryana,2019,1,2019Q1,17,0,0
Bhiwani,Haryana,2019,2,2019Q2,18,0,0
Bhiwani,Haryana,2019,3,2019Q3,19,0,0
Bhiwani,Haryana,2019,4,2019Q4,20,0,0
Bhiwani,Haryana,2020,1,2020Q1,21,0,0
Bhiwani,Haryana,2020,2,2020Q2,22,0,0
Bhiwani,Haryana,2020,3,2020Q3,23,0,0
Bhiwani,Haryana,2020,4,2020Q4,24,0,0
Bhiwani,Haryana,2021,1,2021Q1,25,0,0
Bhiwani,Haryana,2021,2,2021Q2,26,0,0
Bhiwani,Haryana,2021,3,2021Q3,27,0,0
Bhiwani,Haryana,2021,4,2021Q4,28,0,0
Bhiwani,Haryana,2022,1,2022Q1,29,0,0
Bhiwani,Haryana,2022,2,2022Q2,30,0,0
Bhiwani,Haryana,2022,3,2022Q3,31,0,0
Bhiwani,Haryana,2022,4,2022Q4,32,0,0
Bhiwani,Haryana,2023,1,2023Q1,33,0,0
Bhiwani,Haryana,2023,2,2023Q2,34,0,0
Bhiwani,Haryana,2023,3,2023Q3,35,0,0
Bhiwani,Haryana,2023,4,2023Q4,36,0,0
Bhiwani,Haryana,2024,1,2024Q1,37,0,0
Bhiwani,Haryana,2024,2,2024Q2,38,0,0
Bhiwani,Haryana,2024,3,2024Q3,39,0,0
Bhiwani,Haryana,2024,4,2024Q4,40,0,0
Faridabad,Haryana,2015,1,2015Q1,1,0,0
Faridabad,Haryana,2015,2,2015Q2,2,0,0
Faridabad,Haryana,2015,3,2015Q3,3,1,0
Faridabad,Haryana,2015,4,2015Q4,4,0,0
Faridabad,Haryana,2016,1,2016Q1,5,0,0
Faridabad,Haryana,2016,2,2016Q2,6,0,0
Faridabad,Haryana,2016,3,2016Q3,7,0,0
Faridabad,Haryana,2016,4,2016Q4,8,0,0
Faridabad,Haryana,2017,1,2017Q1,9,0,0
Faridabad,Haryana,2017,2,2017Q2,10,0,0
Faridabad,Haryana,2017,3,2017Q3,11,0,0
Faridabad,Haryana,2017,4,2017Q4,12,0,0
Faridabad,Haryana,2018,1,2018Q1,13,0,0
Faridabad,Haryana,2018,2,2018Q2,14,0,0
Faridabad,Haryana,2018,3,2018Q3,15,1,0
Faridabad,Haryana,2018,4,2018Q4,16,0,0
Faridabad,Haryana,2019,1,2019Q1,17,0,0
Faridabad,Haryana,2019,2,2019Q2,18,0,0
Faridabad,Haryana,2019,3,2019Q3,19,0,0
Faridabad,Haryana,2019,4,2019Q4,20,0,0
Faridabad,Haryana,2020,1,2020Q1,21,0,0
Faridabad,Haryana,2020,2,2020Q2,22,0,0
Faridabad,Haryana,2020,3,2020Q3,23,0,0
Faridabad,Haryana,2020,4,2020Q4,24,0,0
Faridabad,Haryana,2021,1,2021Q1,25,0,0
Faridabad,Haryana,2021,2,2021Q2,26,0,0
Faridabad,Haryana,2021,3,2021Q3,27,0,0
Faridabad,Haryana,2021,4,2021Q4,28,0,0
Faridabad,Haryana,2022,1,2022Q1,29,0,0
Faridabad,Haryana,2022,2,2022Q2,30,0,0
Faridabad,Haryana,2022,3,2022Q3,31,0,0
Faridabad,Haryana,2022,4,2022Q4,32,0,0
Faridabad,Haryana,2023,1,2023Q1,33,0,0
Faridabad,Haryana,2023,2,2023Q2,34,0,0
Faridabad,Haryana,2023,3,2023Q3,35,0,0
Faridabad,Haryana,2023,4,2023Q4,36,0,0
Faridabad,Haryana,2024,1,2024Q1,37,0,0
Faridabad,Haryana,2024,2,2024Q2,38,0,0
Faridabad,Haryana,2024,3,2024Q3,39,0,0
Faridabad,Haryana,2024,4,2024Q4,40,0,0
Fatehabad,Haryana,2015,1,2015Q1,1,0,0
Fatehabad,Haryana,2015,2,2015Q2,2,0,0
Fatehabad,Haryana,2015,3,2015Q3,3,1,0
Fatehabad,Haryana,2015,4,2015Q4,4,0,0
Fatehabad,Haryana,2016,1,2016Q1,5,0,0
Fatehabad,Haryana,2016,2,2016Q2,6,0,0
Fatehabad,Haryana,2016,3,2016Q3,7,0,0
Fatehabad,Haryana,2016,4,2016Q4,8,0,0
Fatehabad,Haryana,2017,1,2017Q1,9,0,0
Fatehabad,Haryana,2017,2,2017Q2,10,0,0
Fatehabad,Haryana,2017,3,2017Q3,11,0,0
Fatehabad,Haryana,2017,4,2017Q4,12,0,0
Fatehabad,Haryana,2018,1,2018Q1,13,0,0
Fatehabad,Haryana,2018,2,2018Q2,14,0,0
Fatehabad,Haryana,2018,3,2018Q3,15,1,0
Fatehabad,Haryana,2018,4,2018Q4,16,0,0
Fatehabad,Haryana,2019,1,2019Q1,17,0,0
Fatehabad,Haryana,2019,2,2019Q2,18,0,0
Fatehabad,Haryana,2019,3,2019Q3,19,0,0
Fatehabad,Haryana,2019,4,2019Q4,20,0,0
Fatehabad,Haryana,2020,1,2020Q1,21,0,0
Fatehabad,Haryana,2020,2,2020Q2,22,0,0
Fatehabad,Haryana,2020,3,2020Q3,23,0,0
Fatehabad,Haryana,2020,4,2020Q4,24,0,0
Fatehabad,Haryana,2021,1,2021Q1,25,0,0
Fatehabad,Haryana,2021,2,2021Q2,26,0,0
Fatehabad,Haryana,2021,3,2021Q3,27,0,0
Fatehabad,Haryana,2021,4,2021Q4,28,0,0
Fatehabad,Haryana,2022,1,2022Q1,29,0,0
Fatehabad,Haryana,2022,2,2022Q2,30,0,0
Fatehabad,Haryana,2022,3,2022Q3,31,0,0
Fatehabad,Haryana,2022,4,2022Q4,32,0,0
Fatehabad,Haryana,2023,1,2023Q1,33,0,0
Fatehabad,Haryana,2023,2,2023Q2,34,0,0
Fatehabad,Haryana,2023,3,2023Q3,35,0,0
Fatehabad,Haryana,2023,4,2023Q4,36,0,0
Fatehabad,Haryana,2024,1,2024Q1,37,0,0
Fatehabad,Haryana,2024,2,2024Q2,38,0,0
Fatehabad,Haryana,2024,3,2024Q3,39,0,0
Fatehabad,Haryana,2024,4,2024Q4,40,0,0
Gurgaon,Haryana,2015,1,2015Q1,1,0,0
Gurgaon,Haryana,2015,2,2015Q2,2,0,0
Gurgaon,Haryana,2015,3,2015Q3,3,1,0
Gurgaon,Haryana,2015,4,2015Q4,4,0,0
Gurgaon,Haryana,2016,1,2016Q1,5,0,0
Gurgaon,Haryana,2016,2,2016Q2,6,0,0
Gurgaon,Haryana,2016,3,2016Q3,7,0,0
Gurgaon,Haryana,2016,4,2016Q4,8,0,0
Gurgaon,Haryana,2017,1,2017Q1,9,0,0
Gurgaon,Haryana,2017,2,2017Q2,10,0,0
Gurgaon,Haryana,2017,3,2017Q3,11,0,0
Gurgaon,Haryana,2017,4,2017Q4,12,0,0
Gurgaon,Haryana,2018,1,2018Q1,13,0,0
Gurgaon,Haryana,2018,2,2018Q2,14,0,0
Gurgaon,Haryana,2018,3,2018Q3,15,1,0
Gurgaon,Haryana,2018,4,2018Q4,16,0,0
Gurgaon,Haryana,2019,1,2019Q1,17,0,0
Gurgaon,Haryana,2019,2,2019Q2,18,0,0
Gurgaon,Haryana,2019,3,2019Q3,19,0,0
Gurgaon,Haryana,2019,4,2019Q4,20,0,0
Gurgaon,Haryana,2020,1,2020Q1,21,0,0
Gurgaon,Haryana,2020,2,2020Q2,22,0,0
Gurgaon,Haryana,2020,3,2020Q3,23,0,0
Gurgaon,Haryana,2020,4,2020Q4,24,0,0
Gurgaon,Haryana,2021,1,2021Q1,25,0,0
Gurgaon,Haryana,2021,2,2021Q2,26,0,0
Gurgaon,Haryana,2021,3,2021Q3,27,0,0
Gurgaon,Haryana,2021,4,2021Q4,28,0,0
Gurgaon,Haryana,2022,1,2022Q1,29,0,0
Gurgaon,Haryana,2022,2,2022Q2,30,0,0
Gurgaon,Haryana,2022,3,2022Q3,31,0,0
Gurgaon,Haryana,2022,4,2022Q4,32,0,0
Gurgaon,Haryana,2023,1,2023Q1,33,0,0
Gurgaon,Haryana,2023,2,2023Q2,34,0,0
Gurgaon,Haryana,2023,3,2023Q3,35,0,0
Gurgaon,Haryana,2023,4,2023Q4,36,0,0
Gurgaon,Haryana,2024,1,2024Q1,37,0,0
Gurgaon,Haryana,2024,2,2024Q2,38,0,0
Gurgaon,Haryana,2024,3,2024Q3,39,0,0
Gurgaon,Haryana,2024,4,2024Q4,40,0,0
Hisar,Haryana,2015,1,2015Q1,1,0,0
Hisar,Haryana,2015,2,2015Q2,2,0,0
Hisar,Haryana,2015,3,2015Q3,3,1,0
Hisar,Haryana,2015,4,2015Q4,4,0,0
Hisar,Haryana,2016,1,2016Q1,5,0,0
Hisar,Haryana,2016,2,2016Q2,6,0,0
Hisar,Haryana,2016,3,2016Q3,7,0,0
Hisar,Haryana,2016,4,2016Q4,8,0,0
Hisar,Haryana,2017,1,2017Q1,9,0,0
Hisar,Haryana,2017,2,2017Q2,10,0,0
Hisar,Haryana,2017,3,2017Q3,11,0,0
Hisar,Haryana,2017,4,2017Q4,12,0,0
Hisar,Haryana,2018,1,2018Q1,13,0,0
Hisar,Haryana,2018,2,2018Q2,14,0,0
Hisar,Haryana,2018,3,2018Q3,15,1,0
Hisar,Haryana,2018,4,2018Q4,16,0,0
Hisar,Haryana,2019,1,2019Q1,17,0,0
Hisar,Haryana,2019,2,2019Q2,18,0,0
Hisar,Haryana,2019,3,2019Q3,19,0,0
Hisar,Haryana,2019,4,2019Q4,20,0,0
Hisar,Haryana,2020,1,2020Q1,21,0,0
Hisar,Haryana,2020,2,2020Q2,22,0,0
Hisar,Haryana,2020,3,2020Q3,23,0,0
Hisar,Haryana,2020,4,2020Q4,24,0,0
Hisar,Haryana,2021,1,2021Q1,25,0,0
Hisar,Haryana,2021,2,2021Q2,26,0,0
Hisar,Haryana,2021,3,2021Q3,27,0,0
Hisar,Haryana,2021,4,2021Q4,28,0,0
Hisar,Haryana,2022,1,2022Q1,29,0,0
Hisar,Haryana,2022,2,2022Q2,30,0,0
Hisar,Haryana,2022,3,2022Q3,31,0,0
Hisar,Haryana,2022,4,2022Q4,32,0,0
Hisar,Haryana,2023,1,2023Q1,33,0,0
Hisar,Haryana,2023,2,2023Q2,34,0,0
Hisar,Haryana,2023,3,2023Q3,35,0,0
Hisar,Haryana,2023,4,2023Q4,36,0,0
Hisar,Haryana,2024,1,2024Q1,37,0,0
Hisar,Haryana,2024,2,2024Q2,38,0,0
Hisar,Haryana,2024,3,2024Q3,39,0,0
Hisar,Haryana,2024,4,2024Q4,40,0,0
Jhajjar,Haryana,2015,1,2015Q1,1,0,0
Jhajjar,Haryana,2015,2,2015Q2,2,0,0
Jhajjar,Haryana,2015,3,2015Q3,3,1,0
Jhajjar,Haryana,2015,4,2015Q4,4,0,0
Jhajjar,Haryana,2016,1,2016Q1,5,0,0
Jhajjar,Haryana,2016,2,2016Q2,6,0,0
Jhajjar,Haryana,2016,3,2016Q3,7,0,0
Jhajjar,Haryana,2016,4,2016Q4,8,0,0
Jhajjar,Haryana,2017,1,2017Q1,9,0,0
Jhajjar,Haryana,2017,2,2017Q2,10,0,0
Jhajjar,Haryana,2017,3,2017Q3,11,0,0
Jhajjar,Haryana,2017,4,2017Q4,12,0,0
Jhajjar,Haryana,2018,1,2018Q1,13,0,0
Jhajjar,Haryana,2018,2,2018Q2,14,0,0
Jhajjar,Haryana,2018,3,2018Q3,15,1,0
Jhajjar,Haryana,2018,4,2018Q4,16,0,0
Jhajjar,Haryana,2019,1,2019Q1,17,0,0
Jhajjar,Haryana,2019,2,2019Q2,18,0,0
Jhajjar,Haryana,2019,3,2019Q3,19,0,0
Jhajjar,Haryana,2019,4,2019Q4,20,0,0
Jhajjar,Haryana,2020,1,2020Q1,21,0,0
Jhajjar,Haryana,2020,2,2020Q2,22,0,0
Jhajjar,Haryana,2020,3,2020Q3,23,0,0
Jhajjar,Haryana,2020,4,2020Q4,24,0,0
Jhajjar,Haryana,2021,1,2021Q1,25,0,0
Jhajjar,Haryana,2021,2,2021Q2,26,0,0
Jhajjar,Haryana,2021,3,2021Q3,27,0,0
Jhajjar,Haryana,2021,4,2021Q4,28,0,0
Jhajjar,Haryana,2022,1,2022Q1,29,0,0
Jhajjar,Haryana,2022,2,2022Q2,30,0,0
Jhajjar,Haryana,2022,3,2022Q3,31,0,0
Jhajjar,Haryana,2022,4,2022Q4,32,0,0
Jhajjar,Haryana,2023,1,2023Q1,33,0,0
Jhajjar,Haryana,2023,2,2023Q2,34,0,0
Jhajjar,Haryana,2023,3,2023Q3,35,0,0
Jhajjar,Haryana,2023,4,2023Q4,36,0,0
Jhajjar,Haryana,2024,1,2024Q1,37,0,0
Jhajjar,Haryana,2024,2,2024Q2,38,0,0
Jhajjar,Haryana,2024,3,2024Q3,39,0,0
Jhajjar,Haryana,2024,4,2024Q4,40,0,0
Jind,Haryana,2015,1,2015Q1,1,0,0
Jind,Haryana,2015,2,2015Q2,2,0,0
Jind,Haryana,2015,3,2015Q3,3,1,0
Jind,Haryana,2015,4,2015Q4,4,0,0
Jind,Haryana,2016,1,2016Q1,5,0,0
Jind,Haryana,2016,2,2016Q2,6,0,0
Jind,Haryana,2016,3,2016Q3,7,0,0
Jind,Haryana,2016,4,2016Q4,8,0,0
Jind,Haryana,2017,1,2017Q1,9,0,0
Jind,Haryana,2017,2,2017Q2,10,0,0
Jind,Haryana,2017,3,2017Q3,11,0,0
Jind,Haryana,2017,4,2017Q4,12,0,0
Jind,Haryana,2018,1,2018Q1,13,0,0
Jind,Haryana,2018,2,2018Q2,14,0,0
Jind,Haryana,2018,3,2018Q3,15,1,0
