district_gadm,state_gadm,year,q,quarter,quarter_num
Nicobar Islands,Andaman and Nicobar,2024,1,2024Q1,37
Nicobar Islands,Andaman and Nicobar,2024,2,2024Q2,38
Nicobar Islands,Andaman and Nicobar,2024,3,2024Q3,39
Nicobar Islands,Andaman and Nicobar,2024,4,2024Q4,40
North and Middle Andaman,Andaman and Nicobar,2015,1,2015Q1,1
North and Middle Andaman,Andaman and Nicobar,2015,2,2015Q2,2
North and Middle Andaman,Andaman and Nicobar,2015,3,2015Q3,3
North and Middle Andaman,Andaman and Nicobar,2015,4,2015Q4,4
North and Middle Andaman,Andaman and Nicobar,2016,1,2016Q1,5
North and Middle Andaman,Andaman and Nicobar,2016,2,2016Q2,6
North and Middle Andaman,Andaman and Nicobar,2016,3,2016Q3,7
North and Middle Andaman,Andaman and Nicobar,2016,4,2016Q4,8
North and Middle Andaman,Andaman and Nicobar,2017,1,2017Q1,9
North and Middle Andaman,Andaman and Nicobar,2017,2,2017Q2,10
North and Middle Andaman,Andaman and Nicobar,2017,3,2017Q3,11
North and Middle Andaman,Andaman and Nicobar,2017,4,2017Q4,12
North and Middle Andaman,Andaman and Nicobar,2018,1,2018Q1,13
North and Middle Andaman,Andaman and Nicobar,2018,2,2018Q2,14
North and Middle Andaman,Andaman and Nicobar,2018,3,2018Q3,15
North and Middle Andaman,Andaman and Nicobar,2018,4,2018Q4,16
North and Middle Andaman,Andaman and Nicobar,2019,1,2019Q1,17
North and Middle Andaman,Andaman and Nicobar,2019,2,2019Q2,18
North and Middle Andaman,Andaman and Nicobar,2019,3,2019Q3,19
North and Middle Andaman,Andaman and Nicobar,2019,4,2019Q4,20
North and Middle Andaman,Andaman and Nicobar,2020,1,2020Q1,21
North and Middle Andaman,Andaman and Nicobar,2020,2,2020Q2,22
North and Middle Andaman,Andaman and Nicobar,2020,3,2020Q3,23
North and Middle Andaman,Andaman and Nicobar,2020,4,2020Q4,24
North and Middle Andaman,Andaman and Nicobar,2021,1,2021Q1,25
North and Middle Andaman,Andaman and Nicobar,2021,2,2021Q2,26
North and Middle Andaman,Andaman and Nicobar,2021,3,2021Q3,27
North and Middle Andaman,Andaman and Nicobar,2021,4,2021Q4,28
North and Middle Andaman,Andaman and Nicobar,2022,1,2022Q1,29
North and Middle Andaman,Andaman and Nicobar,2022,2,2022Q2,30
North and Middle Andaman,Andaman and Nicobar,2022,3,2022Q3,31
North and Middle Andaman,Andaman and Nicobar,2022,4,2022Q4,32
North and Middle Andaman,Andaman and Nicobar,2023,1,2023Q1,33
North and Middle Andaman,Andaman and Nicobar,2023,2,2023Q2,34
North and Middle Andaman,Andaman and Nicobar,2023,3,2023Q3,35
North and Middle Andaman,Andaman and Nicobar,2023,4,2023Q4,36
North and Middle Andaman,Andaman and Nicobar,2024,1,2024Q1,37
North and Middle Andaman,Andaman and Nicobar,2024,2,2024Q2,38
North and Middle Andaman,Andaman and Nicobar,2024,3,2024Q3,39
North and Middle Andaman,Andaman and Nicobar,2024,4,2024Q4,40
South Andaman,Andaman and Nicobar,2015,1,2015Q1,1
South Andaman,Andaman and Nicobar,2015,2,2015Q2,2
South Andaman,Andaman and Nicobar,2015,3,2015Q3,3
South Andaman,Andaman and Nicobar,2015,4,2015Q4,4
South Andaman,Andaman and Nicobar,2016,1,2016Q1,5
South Andaman,Andaman and Nicobar,2016,2,2016Q2,6
South Andaman,Andaman and Nicobar,2016,3,2016Q3,7
South Andaman,Andaman and Nicobar,2016,4,2016Q4,8
South Andaman,Andaman and Nicobar,2017,1,2017Q1,9
South Andaman,Andaman and Nicobar,2017,2,2017Q2,10
South Andaman,Andaman and Nicobar,2017,3,2017Q3,11
South Andaman,Andaman and Nicobar,2017,4,2017Q4,12
South Andaman,Andaman and Nicobar,2018,1,2018Q1,13
South Andaman,Andaman and Nicobar,2018,2,2018Q2,14
South Andaman,Andaman and Nicobar,2018,3,2018Q3,15
South Andaman,Andaman and Nicobar,2018,4,2018Q4,16
South Andaman,Andaman and Nicobar,2019,1,2019Q1,17
South Andaman,Andaman and Nicobar,2019,2,2019Q2,18
South Andaman,Andaman and Nicobar,2019,3,2019Q3,19
South Andaman,Andaman and Nicobar,2019,4,2019Q4,20
South Andaman,Andaman and Nicobar,2020,1,2020Q1,21
South Andaman,Andaman and Nicobar,2020,2,2020Q2,22
South Andaman,Andaman and Nicobar,2020,3,2020Q3,23
South Andaman,Andaman and Nicobar,2020,4,2020Q4,24
South Andaman,Andaman and Nicobar,2021,1,2021Q1,25
South Andaman,Andaman and Nicobar,2021,2,2021Q2,26
South Andaman,Andaman and Nicobar,2021,3,2021Q3,27
South Andaman,Andaman and Nicobar,2021,4,2021Q4,28
South Andaman,Andaman and Nicobar,2022,1,2022Q1,29
South Andaman,Andaman and Nicobar,2022,2,2022Q2,30
South Andaman,Andaman and Nicobar,2022,3,2022Q3,31
South Andaman,Andaman and Nicobar,2022,4,2022Q4,32
South Andaman,Andaman and Nicobar,2023,1,2023Q1,33
South Andaman,Andaman and Nicobar,2023,2,2023Q2,34
South Andaman,Andaman and Nicobar,2023,3,2023Q3,35
South Andaman,Andaman and Nicobar,2023,4,2023Q4,36
South Andaman,Andaman and Nicobar,2024,1,2024Q1,37
South Andaman,Andaman and Nicobar,2024,2,2024Q2,38
South Andaman,Andaman and Nicobar,2024,3,2024Q3,39
South Andaman,Andaman and Nicobar,2024,4,2024Q4,40
Anantapur,Andhra Pradesh,2015,1,2015Q1,1
Anantapur,Andhra Pradesh,2015,2,2015Q2,2
Anantapur,Andhra Pradesh,2015,3,2015Q3,3
Anantapur,Andhra Pradesh,2015,4,2015Q4,4
Anantapur,Andhra Pradesh,2016,1,2016Q1,5
Anantapur,Andhra Pradesh,2016,2,2016Q2,6
Anantapur,Andhra Pradesh,2016,3,2016Q3,7
Anantapur,Andhra Pradesh,2016,4,2016Q4,8
Anantapur,Andhra Pradesh,2017,1,2017Q1,9
Anantapur,Andhra Pradesh,2017,2,2017Q2,10
Anantapur,Andhra Pradesh,2017,3,2017Q3,11
Anantapur,Andhra Pradesh,2017,4,2017Q4,12
Anantapur,Andhra Pradesh,2018,1,2018Q1,13
Anantapur,Andhra Pradesh,2018,2,2018Q2,14
Anantapur,Andhra Pradesh,2018,3,2018Q3,15
Anantapur,Andhra Pradesh,2018,4,2018Q4,16
Anantapur,Andhra Pradesh,2019,1,2019Q1,17
Anantapur,Andhra Pradesh,2019,2,2019Q2,18
Anantapur,Andhra Pradesh,2019,3,2019Q3,19
Anantapur,Andhra Pradesh,2019,4,2019Q4,20
Anantapur,Andhra Pradesh,2020,1,2020Q1,21
Anantapur,Andhra Pradesh,2020,2,2020Q2,22
Anantapur,Andhra Pradesh,2020,3,2020Q3,23
Anantapur,Andhra Pradesh,2020,4,2020Q4,24
Anantapur,Andhra Pradesh,2021,1,2021Q1,25
Anantapur,Andhra Pradesh,2021,2,2021Q2,26
Anantapur,Andhra Pradesh,2021,3,2021Q3,27
Anantapur,Andhra Pradesh,2021,4,2021Q4,28
Anantapur,Andhra Pradesh,2022,1,2022Q1,29
Anantapur,Andhra Pradesh,2022,2,2022Q2,30
Anantapur,Andhra Pradesh,2022,3,2022Q3,31
Anantapur,Andhra Pradesh,2022,4,2022Q4,32
Anantapur,Andhra Pradesh,2023,1,2023Q1,33
Anantapur,Andhra Pradesh,2023,2,2023Q2,34
Anantapur,Andhra Pradesh,2023,3,2023Q3,35
Anantapur,Andhra Pradesh,2023,4,2023Q4,36
Anantapur,Andhra Pradesh,2024,1,2024Q1,37
Anantapur,Andhra Pradesh,2024,2,2024Q2,38
Anantapur,Andhra Pradesh,2024,3,2024Q3,39
Anantapur,Andhra Pradesh,2024,4,2024Q4,40
Chittoor,Andhra Pradesh,2015,1,2015Q1,1
Chittoor,Andhra Pradesh,2015,2,2015Q2,2
Chittoor,Andhra Pradesh,2015,3,2015Q3,3
Chittoor,Andhra Pradesh,2015,4,2015Q4,4
Chittoor,Andhra Pradesh,2016,1,2016Q1,5
Chittoor,Andhra Pradesh,2016,2,2016Q2,6
Chittoor,Andhra Pradesh,2016,3,2016Q3,7
Chittoor,Andhra Pradesh,2016,4,2016Q4,8
Chittoor,Andhra Pradesh,2017,1,2017Q1,9
Chittoor,Andhra Pradesh,2017,2,2017Q2,10
Chittoor,Andhra Pradesh,2017,3,2017Q3,11
Chittoor,Andhra Pradesh,2017,4,2017Q4,12
Chittoor,Andhra Pradesh,2018,1,2018Q1,13
Chittoor,Andhra Pradesh,2018,2,2018Q2,14
Chittoor,Andhra Pradesh,2018,3,2018Q3,15
Chittoor,Andhra Pradesh,2018,4,2018Q4,16
Chittoor,Andhra Pradesh,2019,1,2019Q1,17
Chittoor,Andhra Pradesh,2019,2,2019Q2,18
Chittoor,Andhra Pradesh,2019,3,2019Q3,19
Chittoor,Andhra Pradesh,2019,4,2019Q4,20
Chittoor,Andhra Pradesh,2020,1,2020Q1,21
Chittoor,Andhra Pradesh,2020,2,2020Q2,22
Chittoor,Andhra Pradesh,2020,3,2020Q3,23
Chittoor,Andhra Pradesh,2020,4,2020Q4,24
Chittoor,Andhra Pradesh,2021,1,2021Q1,25
Chittoor,Andhra Pradesh,2021,2,2021Q2,26
Chittoor,Andhra Pradesh,2021,3,2021Q3,27
Chittoor,Andhra Pradesh,2021,4,2021Q4,28
Chittoor,Andhra Pradesh,2022,1,2022Q1,29
Chittoor,Andhra Pradesh,2022,2,2022Q2,30
Chittoor,Andhra Pradesh,2022,3,2022Q3,31
Chittoor,Andhra Pradesh,2022,4,2022Q4,32
Chittoor,Andhra Pradesh,2023,1,2023Q1,33
Chittoor,Andhra Pradesh,2023,2,2023Q2,34
Chittoor,Andhra Pradesh,2023,3,2023Q3,35
Chittoor,Andhra Pradesh,2023,4,2023Q4,36
Chittoor,Andhra Pradesh,2024,1,2024Q1,37
Chittoor,Andhra Pradesh,2024,2,2024Q2,38
Chittoor,Andhra Pradesh,2024,3,2024Q3,39
Chittoor,Andhra Pradesh,2024,4,2024Q4,40
East Godavari,Andhra Pradesh,2015,1,2015Q1,1
East Godavari,Andhra Pradesh,2015,2,2015Q2,2
East Godavari,Andhra Pradesh,2015,3,2015Q3,3
East Godavari,Andhra Pradesh,2015,4,2015Q4,4
East Godavari,Andhra Pradesh,2016,1,2016Q1,5
East Godavari,Andhra Pradesh,2016,2,2016Q2,6
East Godavari,Andhra Pradesh,2016,3,2016Q3,7
East Godavari,Andhra Pradesh,2016,4,2016Q4,8
East Godavari,Andhra Pradesh,2017,1,2017Q1,9
East Godavari,Andhra Pradesh,2017,2,2017Q2,10
East Godavari,Andhra Pradesh,2017,3,2017Q3,11
East Godavari,Andhra Pradesh,2017,4,2017Q4,12
East Godavari,Andhra Pradesh,2018,1,2018Q1,13
East Godavari,Andhra Pradesh,2018,2,2018Q2,14
East Godavari,Andhra Pradesh,2018,3,2018Q3,15
East Godavari,Andhra Pradesh,2018,4,2018Q4,16
East Godavari,Andhra Pradesh,2019,1,2019Q1,17
East Godavari,Andhra Pradesh,2019,2,2019Q2,18
East Godavari,Andhra Pradesh,2019,3,2019Q3,19
East Godavari,Andhra Pradesh,2019,4,2019Q4,20
East Godavari,Andhra Pradesh,2020,1,2020Q1,21
East Godavari,Andhra Pradesh,2020,2,2020Q2,22
East Godavari,Andhra Pradesh,2020,3,2020Q3,23
East Godavari,Andhra Pradesh,2020,4,2020Q4,24
East Godavari,Andhra Pradesh,2021,1,2021Q1,25
East Godavari,Andhra Pradesh,2021,2,2021Q2,26
East Godavari,Andhra Pradesh,2021,3,2021Q3,27
East Godavari,Andhra Pradesh,2021,4,2021Q4,28
East Godavari,Andhra Pradesh,2022,1,2022Q1,29
East Godavari,Andhra Pradesh,2022,2,2022Q2,30
East Godavari,Andhra Pradesh,2022,3,2022Q3,31
East Godavari,Andhra Pradesh,2022,4,2022Q4,32
East Godavari,Andhra Pradesh,2023,1,2023Q1,33
East Godavari,Andhra Pradesh,2023,2,2023Q2,34
East Godavari,Andhra Pradesh,2023,3,2023Q3,35
East Godavari,Andhra Pradesh,2023,4,2023Q4,36
East Godavari,Andhra Pradesh,2024,1,2024Q1,37
East Godavari,Andhra Pradesh,2024,2,2024Q2,38
East Godavari,Andhra Pradesh,2024,3,2024Q3,39
East Godavari,Andhra Pradesh,2024,4,2024Q4,40
Guntur,Andhra Pradesh,2015,1,2015Q1,1
Guntur,Andhra Pradesh,2015,2,2015Q2,2
Guntur,Andhra Pradesh,2015,3,2015Q3,3
Guntur,Andhra Pradesh,2015,4,2015Q4,4
Guntur,Andhra Pradesh,2016,1,2016Q1,5
Guntur,Andhra Pradesh,2016,2,2016Q2,6
Guntur,Andhra Pradesh,2016,3,2016Q3,7
Guntur,Andhra Pradesh,2016,4,2016Q4,8
Guntur,Andhra Pradesh,2017,1,2017Q1,9
Guntur,Andhra Pradesh,2017,2,2017Q2,10
Guntur,Andhra Pradesh,2017,3,2017Q3,11
Guntur,Andhra Pradesh,2017,4,2017Q4,12
Guntur,Andhra Pradesh,2018,1,2018Q1,13
Guntur,Andhra Pradesh,2018,2,2018Q2,14
Guntur,Andhra Pradesh,2018,3,2018Q3,15
Guntur,Andhra Pradesh,2018,4,2018Q4,16
Guntur,Andhra Pradesh,2019,1,2019Q1,17
Guntur,Andhra Pradesh,2019,2,2019Q2,18
Guntur,Andhra Pradesh,2019,3,2019Q3,19
Guntur,Andhra Pradesh,2019,4,2019Q4,20
Guntur,Andhra Pradesh,2020,1,2020Q1,21
Guntur,Andhra Pradesh,2020,2,2020Q2,22
Guntur,Andhra Pradesh,2020,3,2020Q3,23
Guntur,Andhra Pradesh,2020,4,2020Q4,24
Guntur,Andhra Pradesh,2021,1,2021Q1,25
Guntur,Andhra Pradesh,2021,2,2021Q2,26
Guntur,Andhra Pradesh,2021,3,2021Q3,27
Guntur,Andhra Pradesh,2021,4,2021Q4,28
Guntur,Andhra Pradesh,2022,1,2022Q1,29
Guntur,Andhra Pradesh,2022,2,2022Q2,30
Guntur,Andhra Pradesh,2022,3,2022Q3,31
Guntur,Andhra Pradesh,2022,4,2022Q4,32
Guntur,Andhra Pradesh,2023,1,2023Q1,33
Guntur,Andhra Pradesh,2023,2,2023Q2,34
Guntur,Andhra Pradesh,2023,3,2023Q3,35
Guntur,Andhra Pradesh,2023,4,2023Q4,36
Guntur,Andhra Pradesh,2024,1,2024Q1,37
Guntur,Andhra Pradesh,2024,2,2024Q2,38
Guntur,Andhra Pradesh,2024,3,2024Q3,39
Guntur,Andhra Pradesh,2024,4,2024Q4,40
Krishna,Andhra Pradesh,2015,1,2015Q1,1
Krishna,Andhra Pradesh,2015,2,2015Q2,2
Krishna,Andhra Pradesh,2015,3,2015Q3,3
Krishna,Andhra Pradesh,2015,4,2015Q4,4
Krishna,Andhra Pradesh,2016,1,2016Q1,5
Krishna,Andhra Pradesh,2016,2,2016Q2,6
Krishna,Andhra Pradesh,2016,3,2016Q3,7
Krishna,Andhra Pradesh,2016,4,2016Q4,8
Krishna,Andhra Pradesh,2017,1,2017Q1,9
Krishna,Andhra Pradesh,2017,2,2017Q2,10
Krishna,Andhra Pradesh,2017,3,2017Q3,11
Krishna,Andhra Pradesh,2017,4,2017Q4,12
Krishna,Andhra Pradesh,2018,1,2018Q1,13
Krishna,Andhra Pradesh,2018,2,2018Q2,14
Krishna,Andhra Pradesh,2018,3,2018Q3,15
Krishna,Andhra Pradesh,2018,4,2018Q4,16
Krishna,Andhra Pradesh,2019,1,2019Q1,17
Krishna,Andhra Pradesh,2019,2,2019Q2,18
Krishna,Andhra Pradesh,2019,3,2019Q3,19
Krishna,Andhra Pradesh,2019,4,2019Q4,20
Krishna,Andhra Pradesh,2020,1,2020Q1,21
Krishna,Andhra Pradesh,2020,2,2020Q2,22
Krishna,Andhra Pradesh,2020,3,2020Q3,23
Krishna,Andhra Pradesh,2020,4,2020Q4,24
Krishna,Andhra Pradesh,2021,1,2021Q1,25
Krishna,Andhra Pradesh,2021,2,2021Q2,26
Krishna,Andhra Pradesh,2021,3,2021Q3,27
Krishna,Andhra Pradesh,2021,4,2021Q4,28
Krishna,Andhra Pradesh,2022,1,2022Q1,29
Krishna,Andhra Pradesh,2022,2,2022Q2,30
Krishna,Andhra Pradesh,2022,3,2022Q3,31
Krishna,Andhra Pradesh,2022,4,2022Q4,32
Krishna,Andhra Pradesh,2023,1,2023Q1,33
Krishna,Andhra Pradesh,2023,2,2023Q2,34
Krishna,Andhra Pradesh,2023,3,2023Q3,35
Krishna,Andhra Pradesh,2023,4,2023Q4,36
Krishna,Andhra Pradesh,2024,1,2024Q1,37
Krishna,Andhra Pradesh,2024,2,2024Q2,38
Krishna,Andhra Pradesh,2024,3,2024Q3,39
Krishna,Andhra Pradesh,2024,4,2024Q4,40
Kurnool,Andhra Pradesh,2015,1,2015Q1,1
Kurnool,Andhra Pradesh,2015,2,2015Q2,2
Kurnool,Andhra Pradesh,2015,3,2015Q3,3
Kurnool,Andhra Pradesh,2015,4,2015Q4,4
Kurnool,Andhra Pradesh,2016,1,2016Q1,5
Kurnool,Andhra Pradesh,2016,2,2016Q2,6
Kurnool,Andhra Pradesh,2016,3,2016Q3,7
Kurnool,Andhra Pradesh,2016,4,2016Q4,8
Kurnool,Andhra Pradesh,2017,1,2017Q1,9
Kurnool,Andhra Pradesh,2017,2,2017Q2,10
Kurnool,Andhra Pradesh,2017,3,2017Q3,11
Kurnool,Andhra Pradesh,2017,4,2017Q4,12
Kurnool,Andhra Pradesh,2018,1,2018Q1,13
Kurnool,Andhra Pradesh,2018,2,2018Q2,14
Kurnool,Andhra Pradesh,2018,3,2018Q3,15
Kurnool,Andhra Pradesh,2018,4,2018Q4,16
Kurnool,Andhra Pradesh,2019,1,2019Q1,17
Kurnool,Andhra Pradesh,2019,2,2019Q2,18
Kurnool,Andhra Pradesh,2019,3,2019Q3,19
Kurnool,Andhra Pradesh,2019,4,2019Q4,20
Kurnool,Andhra Pradesh,2020,1,2020Q1,21
Kurnool,Andhra Pradesh,2020,2,2020Q2,22
Kurnool,Andhra Pradesh,2020,3,2020Q3,23
Kurnool,Andhra Pradesh,2020,4,2020Q4,24
Kurnool,Andhra Pradesh,2021,1,2021Q1,25
Kurnool,Andhra Pradesh,2021,2,2021Q2,26
Kurnool,Andhra Pradesh,2021,3,2021Q3,27
Kurnool,Andhra Pradesh,2021,4,2021Q4,28
Kurnool,Andhra Pradesh,2022,1,2022Q1,29
Kurnool,Andhra Pradesh,2022,2,2022Q2,30
Kurnool,Andhra Pradesh,2022,3,2022Q3,31
Kurnool,Andhra Pradesh,2022,4,2022Q4,32
Kurnool,Andhra Pradesh,2023,1,2023Q1,33
Kurnool,Andhra Pradesh,2023,2,2023Q2,34
Kurnool,Andhra Pradesh,2023,3,2023Q3,35
Kurnool,Andhra Pradesh,2023,4,2023Q4,36
Kurnool,Andhra Pradesh,2024,1,2024Q1,37
Kurnool,Andhra Pradesh,2024,2,2024Q2,38
Kurnool,Andhra Pradesh,2024,3,2024Q3,39
Kurnool,Andhra Pradesh,2024,4,2024Q4,40
Nellore,Andhra Pradesh,2015,1,2015Q1,1
Nellore,Andhra Pradesh,2015,2,2015Q2,2
Nellore,Andhra Pradesh,2015,3,2015Q3,3
Nellore,Andhra Pradesh,2015,4,2015Q4,4
Nellore,Andhra Pradesh,2016,1,2016Q1,5
Nellore,Andhra Pradesh,2016,2,2016Q2,6
Nellore,Andhra Pradesh,2016,3,2016Q3,7
Nellore,Andhra Pradesh,2016,4,2016Q4,8
Nellore,Andhra Pradesh,2017,1,2017Q1,9
Nellore,Andhra Pradesh,2017,2,2017Q2,10
Nellore,Andhra Pradesh,2017,3,2017Q3,11
Nellore,Andhra Pradesh,2017,4,2017Q4,12
Nellore,Andhra Pradesh,2018,1,2018Q1,13
Nellore,Andhra Pradesh,2018,2,2018Q2,14
Nellore,Andhra Pradesh,2018,3,2018Q3,15
Nellore,Andhra Pradesh,2018,4,2018Q4,16
Nellore,Andhra Pradesh,2019,1,2019Q1,17
Nellore,Andhra Pradesh,2019,2,2019Q2,18
Nellore,Andhra Pradesh,2019,3,2019Q3,19
Nellore,Andhra Pradesh,2019,4,2019Q4,20
Nellore,Andhra Pradesh,2020,1,2020Q1,21
Nellore,Andhra Pradesh,2020,2,2020Q2,22
Nellore,Andhra Pradesh,2020,3,2020Q3,23
Nellore,Andhra Pradesh,2020,4,2020Q4,24
Nellore,Andhra Pradesh,2021,1,2021Q1,25
Nellore,Andhra Pradesh,2021,2,2021Q2,26
Nellore,Andhra Pradesh,2021,3,2021Q3,27
Nellore,Andhra Pradesh,2021,4,2021Q4,28
Nellore,Andhra Pradesh,2022,1,2022Q1,29
Nellore,Andhra Pradesh,2022,2,2022Q2,30
Nellore,Andhra Pradesh,2022,3,2022Q3,31
Nellore,Andhra Pradesh,2022,4,2022Q4,32
Nellore,Andhra Pradesh,2023,1,2023Q1,33
Nellore,Andhra Pradesh,2023,2,2023Q2,34
Nellore,Andhra Pradesh,2023,3,2023Q3,35
Nellore,Andhra Pradesh,2023,4,2023Q4,36
Nellore,Andhra Pradesh,2024,1,2024Q1,37
Nellore,Andhra Pradesh,2024,2,2024Q2,38
Nellore,Andhra Pradesh,2024,3,2024Q3,39
Nellore,Andhra Pradesh,2024,4,2024Q4,40
Prakasam,Andhra Pradesh,2015,1,2015Q1,1
Prakasam,Andhra Pradesh,2015,2,2015Q2,2
Prakasam,Andhra Pradesh,2015,3,2015Q3,3
Prakasam,Andhra Pradesh,2015,4,2015Q4,4
Prakasam,Andhra Pradesh,2016,1,2016Q1,5
Prakasam,Andhra Pradesh,2016,2,2016Q2,6
Prakasam,Andhra Pradesh,2016,3,2016Q3,7
Prakasam,Andhra Pradesh,2016,4,2016Q4,8
Prakasam,Andhra Pradesh,2017,1,2017Q1,9
Prakasam,Andhra Pradesh,2017,2,2017Q2,10
Prakasam,Andhra Pradesh,2017,3,2017Q3,11
Prakasam,Andhra Pradesh,2017,4,2017Q4,12
Prakasam,Andhra Pradesh,2018,1,2018Q1,13
Prakasam,Andhra Pradesh,2018,2,2018Q2,14
Prakasam,Andhra Pradesh,2018,3,2018Q3,15
Prakasam,Andhra Pradesh,2018,4,2018Q4,16
Prakasam,Andhra Pradesh,2019,1,2019Q1,17
Prakasam,Andhra Pradesh,2019,2,2019Q2,18
Prakasam,Andhra Pradesh,2019,3,2019Q3,19
Prakasam,Andhra Pradesh,2019,4,2019Q4,20
Prakasam,Andhra Pradesh,2020,1,2020Q1,21
Prakasam,Andhra Pradesh,2020,2,2020Q2,22
Prakasam,Andhra Pradesh,2020,3,2020Q3,23
Prakasam,Andhra Pradesh,2020,4,2020Q4,24
Prakasam,Andhra Pradesh,2021,1,2021Q1,25
Prakasam,Andhra Pradesh,2021,2,2021Q2,26
Prakasam,Andhra Pradesh,2021,3,2021Q3,27
Prakasam,Andhra Pradesh,2021,4,2021Q4,28
Prakasam,Andhra Pradesh,2022,1,2022Q1,29
Prakasam,Andhra Pradesh,2022,2,2022Q2,30
Prakasam,Andhra Pradesh,2022,3,2022Q3,31
Prakasam,Andhra Pradesh,2022,4,2022Q4,32
Prakasam,Andhra Pradesh,2023,1,2023Q1,33
Prakasam,Andhra Pradesh,2023,2,2023Q2,34
Prakasam,Andhra Pradesh,2023,3,2023Q3,35
Prakasam,Andhra Pradesh,2023,4,2023Q4,36
Prakasam,Andhra Pradesh,2024,1,2024Q1,37
Prakasam,Andhra Pradesh,2024,2,2024Q2,38
Prakasam,Andhra Pradesh,2024,3,2024Q3,39
Prakasam,Andhra Pradesh,2024,4,2024Q4,40
Srikakulam,Andhra Pradesh,2015,1,2015Q1,1
Srikakulam,Andhra Pradesh,2015,2,2015Q2,2
Srikakulam,Andhra Pradesh,2015,3,2015Q3,3
Srikakulam,Andhra Pradesh,2015,4,2015Q4,4
Srikakulam,Andhra Pradesh,2016,1,2016Q1,5
Srikakulam,Andhra Pradesh,2016,2,2016Q2,6
Srikakulam,Andhra Pradesh,2016,3,2016Q3,7
Srikakulam,Andhra Pradesh,2016,4,2016Q4,8
Srikakulam,Andhra Pradesh,2017,1,2017Q1,9
Srikakulam,Andhra Pradesh,2017,2,2017Q2,10
Srikakulam,Andhra Pradesh,2017,3,2017Q3,11
Srikakulam,Andhra Pradesh,2017,4,2017Q4,12
Srikakulam,Andhra Pradesh,2018,1,2018Q1,13
Srikakulam,Andhra Pradesh,2018,2,2018Q2,14
Srikakulam,Andhra Pradesh,2018,3,2018Q3,15
Srikakulam,Andhra Pradesh,2018,4,2018Q4,16
Srikakulam,Andhra Pradesh,2019,1,2019Q1,17
Srikakulam,Andhra Pradesh,2019,2,2019Q2,18
Srikakulam,Andhra Pradesh,2019,3,2019Q3,19
Srikakulam,Andhra Pradesh,2019,4,2019Q4,20
Srikakulam,Andhra Pradesh,2020,1,2020Q1,21
Srikakulam,Andhra Pradesh,2020,2,2020Q2,22
Srikakulam,Andhra Pradesh,2020,3,2020Q3,23
Srikakulam,Andhra Pradesh,2020,4,2020Q4,24
Srikakulam,Andhra Pradesh,2021,1,2021Q1,25
Srikakulam,Andhra Pradesh,2021,2,2021Q2,26
Srikakulam,Andhra Pradesh,2021,3,2021Q3,27
Srikakulam,Andhra Pradesh,2021,4,2021Q4,28
Srikakulam,Andhra Pradesh,2022,1,2022Q1,29
Srikakulam,Andhra Pradesh,2022,2,2022Q2,30
